index,company,category,training/test,description 
0,株式会社日立製作所,IT,training,情報 通信 システム 社会 産業 システム 電子 装置 システム 建設 機械 機能 材料 オートモティブシステム 生活 エコ システム 等 製品 開発 生産 販売 サービス 手掛ける 情報 通信 システム システム インテグレーション 社会 産業 システム 産業 用 機器 プラント 電子 装置 システム 半導体 製造 装置 
1,日本電気株式会社,IT,training,政府 官公庁 公共 機関 向け ネットワーク 技術 センサ 技術 データ 分析 技術 社会 ソリューション 提供 行う パブリック 事業 手掛ける いる 製造 業 流通 コンビニ 向け 顔 認証 QR コード 読取る 対応 する 次世代 型 ATM サービス 業 金融 業 向け IT ソリューション 提供 行う その他 通信 事業 者 ネットワーク 構築 必要 機器 運用 管 
2,株式会社リコー,IT,training,複合 機 ファクシミリ プロジェクター オフィス 用品 産業 用 印刷 機器 開発 販売 主 行く いる グループ 通話 サービス BONX for BUSINESS コミュニケーション サービス IT インフラ 構築 運用 管理 ビジネス サービス 手掛ける 
3,株式会社きんでん,IT,training,配電 工事 一般 電気 工事 送電 線 工事 発 変電 所 工事 等 電気 工事 行う いる ビル 工場 受変 電 設備 構内 配電 設備 システム 提案 設計 加える 施工 メンテナンス 手掛ける いる 電気 通信 工事 装 工事 等 情報 通信 工事 行う オフィス 病院 他 学校 LAN 設備 電話 設備 映像 伝送 表示 設備 セキュリティ 設計 施工 保守 対応 する さら 
4,株式会社エヌ・ティ・ティエムイー,IT,training,電話 網 県 間 通信 ネットワーク 含める IP 網 構築 維持 運用 サービス 品質 管理 行う 技術 支援 人材 育成 通信 機器 設備 システム 
5,東日本電信電話株式会社,IT,training,東日本 対象 電話 インターネット 回線 通信 サービス 提供 行う 法人 顧客 向ける データ ネットワーク サービス 
6,ＮＥＣネッツエスアイ株式会社,IT,training,日本電気 株式会社 親会社 持つ コミュニケーション 分野 主要 事業 領域 ICT システム 企画 コンサルティング はじめ 設計 構築 運用 監視 アウトソーシング 実施 する いる 働く 方 改革 ソリューション 始める IoT 活用 セキュリティ ネットワーク クラ ウド サービス ソリ 
7,沖電気工業株式会社,IT,training,ビジネス ホン IP テレフォニーサーバー コンタクト センター ビデオ 会議 システム 等 製造 販売 施工 行う 自動車 位置 情報 道路 情報 収集 分析 する 業務 効率 化 行う ITS サービス LocoMobi 2 . 0 防災 情報 システム DPS 
8,キヤノンＩＴソリューションズ株式会社,IT,training,金融 製造 流通 サービス 公共 文教 IT サービス 等 広範囲 提供 する キャノンマーケティングジャパン 株式会社 完全 子会社 グループ 中核 システムインテグレーター ( 情報 システム 業務 請け負い ) 企業 IT ソリューション 事業 領域 顧客 情報 システム 分析 評価 する こと IT システム 拡張 利用 最適 化 シ ステ 
9,株式会社ＮＴＴ東日本－東北,IT,training,通信 業界 リーディング カンパニー NTT 東日本 グループ 担当 地域 法人 個人 顧客 窓口 担う IP 網 通信 
10,株式会社ＤＴＳ,IT,training,情報 システム 開発 導入 支援 運用 保守 手がける 主 銀行 証券 会社 金融 分野 年金 自治体 公共 分野 顧客 勘定 系 システム 年金 システム 提供 する 通信 業 製造 業 小売 業 法人 向ける ERP システム ビッグ データ 解析 システム 開発 パッケージ システム 販売 
11,株式会社ＮＳＤ,IT,training,金融 業 保険 業 向け システム 報道 システム 通信 システム 開発 行う 製品 受給 生産 管理 受発注 管理 商業 製造 業 向け システム 開発 手がける 貨物 輸送 状況 照会 システム 公営 競技 向け トータリゼータシステム 大学 地方自治体 向け システム 開発 取り組む 加える プラ 
12,日鉄ソリューションズ株式会社,IT,training,ビジネス 問題 解決 ビジネス モデル 支援 経営 情報 技術 視点 顧客 情報 システム コンサルティング 手掛ける いる システム 企画 提案 他 設計 構築 運用 サービス 提供 行う 業務 ソリューション 事業 手掛ける その他 プラットフォーム 構築 技術 運用 ノウハウ 組み合わせる IT イ 
13,株式会社アルファシステムズ,IT,training,固定 網 モバイル 網 交換 ノード 伝送 装置 始め する ノード 加える 無線 基地 局 携帯 端末 使用 する れる ソフトウェア 通信 ネットワーク 管理 システム 通信 システム 開発 手掛ける その他 官公庁 公共 団体 社会 インフラ 関連 システム 流通 サービス 業界 インターネット ビジネス 関 
14,日本電気通信システム株式会社,IT,training,通信 事業 者 向け ネットワーク システム 設計 構築 手掛ける ソフトウェア アプリケーション 開発 行う 他 ネットワーク プロダクト 製品 企画 
15,ネットワンシステムズ株式会社,IT,training,民間 企業 通信 事業 会社 省庁 自治体 向け ICT システム 構築 手掛ける システム 構築 関連 する セキュリティ IT インフラ ワーク スタイル 等 問題 解決 ため 企画 開発 コンサルティング 行う ほか システム 運用 保守 最適 化 対応 する 製品 ベンダー 協業 技術 
16,ＴＩＳソリューションリンク株式会社,IT,training,エンジニア 顧客 企業 常駐 する せる システム 開発 運用 技術 体制 提供 する オンサイト プロフェッショナル サービス 
17,三機工業株式会社,IT,training,建築 設備 事業 空間 向け 空調 システム ペリループ はじめ する ビル 空調 衛生 事業 ビルディング オートメーション 技術 San BACS Web ビル 情報 配信 サービス S - BIWOS 用いる スマート ビル 事業 手掛ける プラント 設備 事業 クリーン ルーム 内 搬送 技術 空港 手荷物 搬 
18,株式会社日立システムズエンジニアリングサービス,IT,training,エンジニア 派遣 する サーバー メイン フレーム オンサイト 運用 代行 サービス 手掛ける いる 金融 機関 保険 業界 
19,三菱ＵＦＪインフォメーションテクノロジー株式会社,IT,training,三菱 UFJ フィナンシャル・グループ 内 システム 設計 開発 行う 会社 三菱 東京 UFJ 銀行 勘定 系 システム グループ 各社 
20,ＣＴＣシステムマネジメント株式会社,IT,training,IT システム 開発 運用 サービス 行う いる サービス 対象 なる 企業 事業 通信 事業 者 金融 規模 公共 性 高い もの 
21,日本システムウエア株式会社,IT,training,IT ソリューション 事業 プロダクトソリューション 事業 2 主 事業 領域 する IT ソリューション 事業 製造 業 金融 業 官公庁 向け コンサルティング システム 開発 保守 運用 一貫 する 請け負う いる 具体 的 製造 業 向け 生産 スケジューラ Asprova 
22,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ,IT,training,ベトナム ハノイ 工科 大学 協力 関係 ある ベトナム ソフトウェア オフショア 開発 強み 持つ スタート アップ 投資 アクセラレータプログラ 
23,株式会社日立ＩＣＴビジネスサービス,IT,training,日立 グループ 傘下 会社 事務 IT 系 製造 系 BPO Web 制作 請け負う BPO 営業 事務 支援 SE 支援 業務 調達 支援 業務 
24,住友電設株式会社,IT,training,架空 送電 線 設備 地中 送電 設備 変電 設備 設備 配電 線 設備 電力 工事 一般 電気 工事 情報 通信 工事 プラント 空調 工事 設備 工事 行う それら 工事 関連 する エンジニアリング サービス 機器 販売 手掛ける 
25,株式会社ＯＫＩソフトウェア,IT,training,情報 システム ネットワーク 構築 保守 機器 組 込 ソフト 開発 行う 取扱 製品 顧客 管理 システム enjoy . CRM 応対 管 
26,明治安田システム・テクノロジー株式会社,IT,training,保険 会社 向け 医療 査定 支援 システム 医療 査定 び 先進 医療 情報 照会 システム 先進 医療 び 開発 販売 行う 介護 総合 情報 サイト MY 介護 広場 
27,株式会社インテックソリューションパワー,IT,training,情報 戦略 業務 改革 セキュリティ 強化 IT コンサルティング 手掛ける 流通 金融 製造 業界 シ 
28,株式会社ＮＴＴデータ・ビジネス・システムズ,IT,training,業務 システム 経営 戦略 コンサルティング 行う いる 会社 営業 管理 顧客 管理 各種 基幹 業務 システム 開 
29,ＮＴＴコムソリューションズ株式会社,IT,training,NTT コミュニケーションズグループ 属す 企業 向け ICT ソリューション 提供 する 会社 クラ ウド 環境 設計 運用 ネットワークソリュ 
30,株式会社菱友システムズ,IT,training,生産 管理 システム 製品 ライフサイクル 管理 関連 システム 開発 サーバー ネットワーク 周辺 機器 システム 保守 運用 監視 手掛ける 航空機 ロケット 空力 構造 解析 行う 解析 ソリューションサービス 提供 取り組む その他 画像 認識 音声 認識 自然 言語 処理 行う AI 搭載 シ 
31,キャル株式会社,IT,training,官公庁 一般 企業 対象 する 受託 システム 開発 電気 回路 設計 手掛ける 官公庁 向け システム 実績 土木 工事 積算 システム 防災 情報 管理 システム 
32,株式会社ＪＳＯＬ,IT,training,医薬 業界 食品 業界 自動車 業界 対象 基幹 システム 導入 業務 効率 化 コスト 削減 ソリューション 提供 する いる 
33,株式会社あとらす二十一,IT,training,主 Web 制作 インターネット 広告 事業 行う ゲーム 会社 旅行 会社 化粧 品 メーカー 出版 社 
34,株式会社フォーカスシステムズ,IT,training,官公庁 地方自治体 公共 機関 向け 社会 保険 システム 航空 管制 システム 公共 関連 システム 開発 手がける 情報 通信 機器 メーカー SIer 民間 企業 向け 通信 制御 システム 端末 組 込 型 システム 受託 開発 行う その他 ハードウェア ネットワーク 
35,株式会社ケアリッツ・アンド・パートナーズ,IT,training,身体 介護 生活 援助 行う 訪問 介護 サービス デイサービス 運営 福祉 器具 販売 レンタル 行う いる Web 開発 金 
36,株式会社ヴィンクス,IT,training,主 情報 関連 サービス 事業 手掛ける アウトソーシング 分野 ソリューション 分野 プロダクト 分野 3 分野 有する アウトソーシング 分野 販売 管理 等 基幹 システム クレジットカード システム 会計 システム 等 業務 システム 運用 管理 加える 業務 システム ソフトウエア 保守 アウトソ 
